#,项目,跟踪,父任务,状态,优先级,主题,作者,指派给,更新于,类别,目标版本,开始日期,计划完成日期,预期时间,耗时,% 完成,创建于,结束日期,相关的问题,Bug类型,Bug严重程度,Bug引入阶段,Bug发现阶段,私有,描述
7797,sitv产品化项目dcms,Bug,"",新建,中,投票中选择节目时，翻页后无法按确定,殷 春捷,张 晓波,2016-04-25 16:28,业务管理,dcms-V0.3,2016-04-25,"","",0.00,0,2016-04-25 16:28,"","",功能类,一般,"","",false,投票中选择节目时，翻页后无法按确定
7743,sitv产品化项目dcms,Bug,"",新建,中,丹阳DCMS的AMS的重新注入的请求时间问题,殷 春捷,张 晓波,2016-04-15 17:04,内容采集,dcms-V0.3,2016-04-15,"","",0.00,0,2016-04-15 17:04,"","",功能类,一般,"","",false,丹阳DCMS的AMS的重新注入的请求时间问题
7571,sitv产品化项目dcms,Feature,"",新建,中,将缓存清理天数的配置加入到配置文件中,殷 春捷,张 晓波,2016-03-30 10:09,内容管理,dcms-V0.3,2016-03-30,"","",0.00,0,2016-03-30 10:09,"","","","","","",false,将缓存清理天数的配置加入到配置文件中
7553,SiTV产品化项目,Feature,"",新建,中,CCMS驻地下发图片FTP地址可配,殷 春捷,张 晓波,2016-03-28 16:39,ccms-驻地管理,新cCMS-现网版本2.0,2016-03-28,"","",0.00,0,2016-03-28 16:39,"","","","","","",false,CCMS驻地下发图片FTP地址可配
7424,sitv产品化项目dcms,Feature,"",新建,中,DCMS增加LOG需求,殷 春捷,张 晓波,2016-03-10 16:24,内容采集,dcms-V0.3,2016-03-10,"","",0.00,0,2016-03-10 16:24,"","","","","","",false,在IMSP采集、IMSP传输、AMS内容注入添加按钮点击的操错日志～
7356,SiTV产品化项目,Feature,"",已解决,中,修改ott转码策略默认为发起还原,殷 春捷,张 晓波,2016-03-07 16:48,ccms-工单管理,新cCMS-现网版本2.0,2016-03-07,2016-03-08,"",0.00,0,2016-03-07 16:47,2016-03-07 16:48,"","","","","",false,修改ott转码策略默认为发起还原
7334,SiTV产品化项目,Feature,"",新建,最高,编排管理-驻地编排：dcms驻地重发功能目前只能分发有版权时间的编排单。期望结果：在不够选编排的情况下能重新分发所有编排单,王 凯娜,赖 凯云,2016-03-02 16:33,ccms-编排管理,新cCMS-现网版本2.0,2016-03-02,"","",0.00,0,2016-03-02 16:33,"","","","","","",false,""
7251,SiTV产品化项目,Feature,"",新建,很高,展示栏目新增删除功能，做逻辑删除,王 凯娜,张 晓波,2016-02-24 17:22,ccms-展示管理,新cCMS-现网版本2.0,2016-02-24,"","",0.00,0,2016-02-24 17:22,"","","","","","",false,""
7199,sitv产品化项目dcms,Bug,"",待升级,中,编排采集，如果一个节目同一栏目的多条编排创建时间一样，则只会生成一条节目编排,殷 春捷,张 晓波,2016-02-19 17:53,系统管理,dcms-V0.3,2016-02-19,"","",0.00,0,2016-02-19 17:53,2016-02-19 17:53,"",功能类,一般,"","",false,编排采集，如果一个节目同一栏目的多条编排创建时间一样，则只会生成一条节目编排
7162,sitv产品化项目EPG,Feature,"",待升级,中,EPG投票表新增字段,王 凯娜,张 晓波,2016-02-19 11:50,"",EPG_V0.4,2016-02-16,"","",0.00,100,2016-02-16 16:00,2016-02-17 16:59,"","","","","",false,"alter table EPG_VOTE_CHOOSE add TITLE varchar(32)  comment '副标题';
alter table EPG_VOTE_CHOOSE add VOTE_POSTER varchar(64) comment '大图片700x720';
alter table EPG_VOTE_CHOOSE add VOTE_ICON varchar(64) comment '图片135x140';
alter table EPG_VOTE_CHOOSE add VOTE_STILL varchar(64) comment '图片185x190';
alter table EPG_VOTE_CHOOSE add ENABLE_STATUS int(1) default 1  comment '1:可用,0:不可用';"
7161,sitv产品化项目dcms,Feature,"",待升级,中,dCMS采集投票选项的副标题，3张图片及可用状态，将这些信息下发到EPG,王 凯娜,张 晓波,2016-02-19 17:52,内容管理,dcms-V0.3,2016-02-16,"","",0.00,100,2016-02-16 15:59,2016-02-17 18:16,"","","","","",false,""
7160,sitv产品化项目dcms,Feature,"",待升级,中,投票功能增加删除及修改功能。投票选项逻辑删除,王 凯娜,张 晓波,2016-02-19 17:52,内容管理,dcms-V0.3,2016-02-16,"","",0.00,100,2016-02-16 15:59,2016-02-17 16:51,"","","","","",false,""
7159,sitv产品化项目dcms,Feature,"",待升级,中,专辑的海报图片非必填,王 凯娜,张 晓波,2016-02-19 11:25,内容管理,dcms-V0.3,2016-02-16,"","",0.00,100,2016-02-16 15:58,2016-02-16 16:23,"","","","","",false,""
7158,SiTV产品化项目,Feature,"",待升级,中,投票选项新增副标题，3张图片及可用状态，将这些信息下发到dCMS,王 凯娜,张 晓波,2016-02-19 14:40,ccms-内容管理,新cCMS-现网版本2.0,2016-02-16,"","",0.00,100,2016-02-16 15:57,2016-02-17 18:17,"","","","","",false,""
7157,SiTV产品化项目,Feature,"",待升级,中,投票功能增加删除及修改功能。投票选项逻辑删除,王 凯娜,张 晓波,2016-02-19 14:31,ccms-内容管理,新cCMS-现网版本2.0,2016-02-16,"","",0.00,100,2016-02-16 15:57,2016-02-17 18:17,"","","","","",false,""
7156,SiTV产品化项目,Feature,"",待升级,中,专辑的海报图片非必填,王 凯娜,张 晓波,2016-02-19 11:23,ccms-内容管理,新cCMS-现网版本2.0,2016-02-16,"","",0.00,100,2016-02-16 15:56,2016-02-18 09:40,"","","","","",false,""
7141,SiTV产品化项目,Feature,"",新建,中,在CCMS中，可查询该驻地下发过的模板包以及展示栏目,殷 春捷,赖 凯云,2016-02-16 10:11,ccms-展示管理,新cCMS-现网版本2.0,2016-02-16,"","",0.00,0,2016-02-16 10:11,"","","","","","",false,在CCMS中，可查询该驻地下发过的模板包以及展示栏目
7105,SiTV产品化项目,Bug,"",新建,中,CCMS下发专辑信息中，可能不带obj_name，导致dcms不知道节目名称,殷 春捷,张 晓波,2016-02-05 17:58,ccms-内容管理,新cCMS-现网版本2.0,2016-02-05,"","",0.00,0,2016-02-05 17:58,"","",功能类,一般,"","",false,CCMS下发专辑信息中，可能不带obj_name，导致dcms不知道节目名称
7104,sitv产品化项目dcms,Bug,"",待升级,中,dcms不接收ccms下发专辑的create_type字段,殷 春捷,张 晓波,2016-02-19 13:10,专辑管理,dcms-V0.3,2016-02-05,"","",0.00,0,2016-02-05 17:57,2016-02-16 16:24,"",功能类,一般,开发,已上线,false,dcms不接收ccms下发专辑的create_type字段
7103,sitv产品化项目dcms,Bug,"",新建,中,ccms下发编排不刷置顶选项,殷 春捷,张 晓波,2016-02-05 17:54,编排管理,dcms-V0.3,2016-02-05,"","",0.00,0,2016-02-05 17:54,"","",功能类,一般,"","",false,ccms下发编排不刷置顶选项
7102,SiTV产品化项目,Bug,"",待升级,最高,ccms下发到dcms的专辑，dcms采集到的专辑没采到create_type字段,王 凯娜,张 晓波,2016-02-19 13:09,dcms-内容采集,新cCMS-现网版本2.0,2016-02-05,"","",0.00,100,2016-02-05 17:51,2016-02-05 17:51,"",功能类,一般,开发,已上线,false,""
6989,sitv产品化项目dcms,Bug,"",已关闭,高,显示信息不一致。手工制作专辑与CCMS下发专辑，使用 节目相同，但在专辑中节目信息状态不同,王 凯娜,张 晓波,2016-01-29 11:13,专辑管理,dcms-V0.3,2016-01-26,"","",0.00,100,2016-01-26 15:31,2016-01-26 15:31,"",功能类,一般,开发,已上线,false,"!专辑中节目状态显示不一致1.png!
_________________________________________

!专辑中节目状态显示不一致2.png!
_________________________________________

!专辑中节目状态显示不一致3.png!"
6988,sitv产品化项目dcms,Bug,"",已关闭,高,节目显示未到位。实际编排时，是已到位。保存打开，显示未到位,王 凯娜,张 晓波,2016-01-29 11:14,专辑管理,dcms-V0.3,2016-01-26,"","",0.00,100,2016-01-26 15:27,2016-01-26 15:27,"",功能类,一般,开发,已上线,false,!节目显示未到位.png!
