#,项目,跟踪,父任务,状态,优先级,主题,作者,指派给,更新于,类别,目标版本,开始日期,计划完成日期,预期时间,耗时,% 完成,创建于,结束日期,相关的问题,Bug类型,Bug严重程度,Bug引入阶段,Bug发现阶段,私有,描述
7963,四川后台管理系统4.0优化,Bug,,新建,中,超女养成：单月订购没有自动续订,夏 志远,罗 华华,2016/5/10 10:07,epg,,2016/5/10,,,0,0,2016/5/10 10:07,,,功能类,一般,开发,测试,FALSE,
7919,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成-选手详情页，视频列表，视频标题过长会折行显示,夏 志远,罗 华华,2016/5/5 15:33,epg,,2016/5/4,,,0,0,2016/5/4 16:28,2016/5/5 15:33,,功能类,一般,开发,测试,FALSE,
7918,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成-选手详情页：选手票数过长会挡住选手照片,夏 志远,罗 华华,2016/5/5 15:34,epg,,2016/5/4,,0,0,100,2016/5/4 16:09,2016/5/5 15:34,,功能类,一般,开发,测试,FALSE,
7917,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成：排行页站人气王，选手和站点字数过长会超出图框,夏 志远,罗 华华,2016/5/5 15:34,epg,,2016/5/4,,,0,0,2016/5/4 15:21,2016/5/5 15:34,,功能类,一般,,,FALSE,
7916,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成：投票页可用遥控器上下键进行翻页,夏 志远,罗 华华,2016/5/5 15:34,epg,,2016/5/4,,,0,0,2016/5/4 15:08,2016/5/5 15:34,,功能类,一般,开发,测试,FALSE,
7826,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成-投票页/排行页：选手名称超过7个字会折行显示,夏 志远,罗 华华,2016/4/26 18:44,epg,,2016/4/26,,,0,0,2016/4/26 17:26,2016/4/26 18:44,,功能类,一般,,,FALSE,
7821,四川后台管理系统4.0优化,Bug,,已解决,中,超女养成-历届选手：视频名称超过两行就接掉，中兴盒子能看到第三行的部分字,夏 志远,张 夏,2016/4/27 14:27,epg,,2016/4/26,2016/4/27,1,1,100,2016/4/26 15:35,2016/4/27 14:27,,功能类,一般,开发,测试,FALSE,
7820,四川后台管理系统4.0优化,Bug,,已关闭,中,超女养成-精彩回顾/ 历届选手：字体用黑体,夏 志远,张 夏,2016/5/3 10:49,epg,,2016/4/26,2016/4/26,0,0,100,2016/4/26 15:33,2016/4/26 16:17,,功能类,一般,开发,测试,FALSE,
7817,四川后台管理系统4.0优化,Bug,,已关闭,中,超女养成：从epg跳转到vote，返回后报404,夏 志远,罗 华华,2016/5/4 13:14,epg,,2016/4/26,,,0,100,2016/4/26 14:23,2016/4/27 13:48,,功能类,一般,开发,测试,FALSE,
7813,四川后台管理系统4.0优化,Bug,,已关闭,中,超女养成-赛事回顾：模版参数中参数名category的参数描述"赛事回归编排"有错字，应为“赛事回顾编排”,夏 志远,张 夏,2016/5/3 10:50,epg,,2016/4/26,2016/4/26,1,2,100,2016/4/26 11:34,2016/4/27 14:28,,功能类,一般,开发,测试,FALSE,
